model,accuracy,precision,recall,f1,auc_roc,pr_auc,business_cost,tn,fp,fn,tp
Logistic Regression,0.8064056939501779,0.6602564102564102,0.553763440860215,0.6023391812865497,0.8472621240983044,0.6467666873197275,31800,927,106,166,206
Random Forest,0.7779359430604982,0.6079136690647482,0.4543010752688172,0.5199999999999999,0.829681010523686,0.6145539043264958,61700,924,109,203,169
MLP (PyTorch),0.7857651245551601,0.6187290969899666,0.49731182795698925,0.5514157973174366,0.8240392322185096,0.5930202787137508,49400,919,114,187,185
Dummy,0.7352313167259786,0.0,0.0,0.0,0.5,0.26476868327402137,186000,1033,0,372,0
