model,accuracy,precision,recall,f1,auc_roc
DummyClassifier,0.7345635202271115,0.0,0.0,0.0,
LogisticRegression,0.8034066713981547,0.6430678466076696,0.5828877005347594,0.6115007012622721,0.8482058436022631
RandomForest,0.7920511000709723,0.6310679611650486,0.5213903743315508,0.5710102489019033,0.8387687617866646
